Product Name,Product URL,product_url_base,Image URL,Variant Option,Price,Currency,Availability,Customization Options,Shipping Min (days),Shipping Max (days)
Arched Vintage Window Nameboard,https://www.zwende.com/products/arched-vintage-window-nameboard-copy,https://www.zwende.com/products/arched-vintage-window-nameboard-copy,https://www.zwende.com/cdn/shop/files/a2_11bdd000-780c-4595-81e9-e96cbc46c3d3.jpg?v=1739168534,16 x 22 Inches,5850,INR,InStock,"Font, Image Upload, Text",3,15
Baby Details Cloud Nameboard with Photo Frame,https://www.zwende.com/products/baby-details-cloud-name-plate,https://www.zwende.com/products/baby-details-cloud-name-plate,https://www.zwende.com/cdn/shop/products/Babybirthdetailscloudnameplate__2_1024x1024.jpg?v=1674645254,Default,1675,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Arched Vintage Window Name Plate,https://www.zwende.com/products/bengali-arched-vintage-window-name-plate,https://www.zwende.com/products/bengali-arched-vintage-window-name-plate,https://www.zwende.com/cdn/shop/files/WhatsAppImage2023-12-14at13.33.56.jpg?v=1702541082,12 x 16 Inches,4800,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Arched Vintage Window Name Plate,https://www.zwende.com/products/bengali-arched-vintage-window-name-plate,https://www.zwende.com/products/bengali-arched-vintage-window-name-plate,https://www.zwende.com/cdn/shop/files/WhatsAppImage2023-12-14at13.33.56.jpg?v=1702541082,16 x 22 Inches,5850,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Hand Painted Madhubani Art Rectangle Nameboard,https://www.zwende.com/products/bengali-hand-painted-madhubani-art-rectangle-name-plate,https://www.zwende.com/products/bengali-hand-painted-madhubani-art-rectangle-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-HariharansPDP-1copy_1024x1024.jpg?v=1673590995,Default,2350,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Hand Painted Madhubani Art Round Nameboard,https://www.zwende.com/products/bengali-hand-painted-madhubani-art-round-name-plate-1,https://www.zwende.com/products/bengali-hand-painted-madhubani-art-round-name-plate-1,https://www.zwende.com/cdn/shop/files/PDP-5_0f957d5c-ae6e-475e-8a12-2a7cc6223c65_1024x1024.jpg?v=1688972421,Default,2590,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Hand-painted Pattachitra Nameboard,https://www.zwende.com/products/bengali-hand-painted-pattachitra-nameboard,https://www.zwende.com/products/bengali-hand-painted-pattachitra-nameboard,https://www.zwende.com/cdn/shop/products/AarushiUdit-Bengali1.jpg?v=1675774121,Bells,3650,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Hand-painted Pattachitra Nameboard,https://www.zwende.com/products/bengali-hand-painted-pattachitra-nameboard,https://www.zwende.com/products/bengali-hand-painted-pattachitra-nameboard,https://www.zwende.com/cdn/shop/products/AarushiUdit-Bengali1.jpg?v=1675774121,Hooks,3650,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Hand-painted Pattachitra Nameboard,https://www.zwende.com/products/bengali-hand-painted-pattachitra-nameboard,https://www.zwende.com/products/bengali-hand-painted-pattachitra-nameboard,https://www.zwende.com/cdn/shop/products/AarushiUdit-Bengali1.jpg?v=1675774121,No Embellishments,3500,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Hand-painted Victorian Cut Oval Nameboard,https://www.zwende.com/products/bengali-hand-painted-victorian-cut-oval-name-plate,https://www.zwende.com/products/bengali-hand-painted-victorian-cut-oval-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-Malhotras1.jpg?v=1673945269,Yes,2050,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Hand-painted Victorian Cut Oval Nameboard,https://www.zwende.com/products/bengali-hand-painted-victorian-cut-oval-name-plate,https://www.zwende.com/products/bengali-hand-painted-victorian-cut-oval-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-Malhotras1.jpg?v=1673945269,No,1750,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Handpainted Baroque Wood & Resin Personalized Name Plate,https://www.zwende.com/products/bengali-handpainted-baroque-wood-resin-personalized-nameplate,https://www.zwende.com/products/bengali-handpainted-baroque-wood-resin-personalized-nameplate,https://www.zwende.com/cdn/shop/files/Studio-Rego_Grey_Regional_Text_PDP_2_1024x1024.jpg?v=1701859176,Default,5600,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Oval Hand-painted Character Nameboard,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-ShivikaSugam_1.jpg?v=1673946480,11 x 8 inches,2400,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Oval Hand-painted Character Nameboard,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-ShivikaSugam_1.jpg?v=1673946480,11 x 8 inches,2100,INR,InStock,"Font, Image Upload, Text",3,15
